,periodStartUnix,liquidity,high,low,close,feeGrowthGlobal0X128,feeGrowthGlobal1X128,pool.totalValueLockedUSD,pool.totalValueLockedToken1,pool.totalValueLockedToken0,pool.token0.decimals,pool.token1.decimals
286,1703682000.0,1.8638694525763002e+19,2298.8490629113057,2279.873033218985,2292.6166179027514,2.537111792776378e+33,1.2294547188316572e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
287,1703678400.0,2.461821855164325e+19,2289.5543380869312,2277.8831390791493,2282.4732753841945,2.5370498594350752e+33,1.2294355407922774e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
288,1703674800.0,1.8388992124010052e+19,2290.0514536601654,2275.7073048132743,2284.822551089793,2.5370107197036337e+33,1.2294172468588194e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
289,1703671200.0,2.3507588577777242e+19,2278.301389252055,2249.002304028183,2278.301389252055,2.5369451358323236e+33,1.2293929767161387e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
290,1703667600.0,1.3858096808239047e+19,2253.2268255439517,2243.5101947837243,2251.900363606101,2.5368641144001079e+33,1.2293780187978194e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
291,1703664000.0,1.3173371868672082e+19,2251.363853399858,2227.660578736853,2248.2324438594387,2.5368373127874198e+33,1.2293689121594637e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
292,1703660400.0,1.1938713850841098e+19,2229.950086639338,2224.7949235983333,2228.9646489208417,2.5367749473266993e+33,1.2293566903328656e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
293,1703656800.0,1.1944750242212248e+19,2232.1517845426406,2222.6209665972588,2226.5246612015158,2.5367609583370724e+33,1.2293523836845922e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
294,1703653200.0,1.1944298103350284e+19,2227.450631834921,2217.2401355613606,2226.6595182257,2.5367390672335066e+33,1.2293424463188363e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
295,1703649600.0,1.1992025926734664e+19,2223.6360528901923,2217.247769459136,2221.6429899366476,2.5367039214283756e+33,1.2293307003517334e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
296,1703646000.0,1.10562704329112e+19,2224.520447742095,2213.4223534522966,2217.8341778794347,2.5366814105376703e+33,1.2293236165615726e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
297,1703642400.0,1.1982163171210633e+19,2230.8898231719545,2216.873485,2220.3857448766803,2.536648929089822e+33,1.2293070411811221e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
298,1703638800.0,1.1873104992087505e+19,2231.637658316296,2222.8203153537866,2230.8922020712225,2.5366202223269777e+33,1.2292854680633994e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
299,1703635200.0,3.737720672437323e+19,2238.4440176627704,2225.4672750443883,2225.9971797797984,2.5365921498770087e+33,1.229276448220633e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
300,1703631600.0,1.1852417184138338e+19,2233.8664870728453,2226.9433585211023,2231.47694408796,2.5365629241665718e+33,1.2292593340387352e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
301,1703628000.0,1.1913747539877087e+19,2228.85748525087,2223.309907191212,2226.167371581059,2.5365381765120853e+33,1.2292524372565398e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
